IDSensor,IDStation,Pollutant,NameStation,Altitude,Province,City,DateStart,DateStop,Latitude,Longitude,Typology
5724,513,Ozone,Trezzo d`Adda,199,MI,Trezzo sull'Adda,2001-02-22,2017-01-01,45.61369175877737,9.50812248390592,SB
5849,556,CO,Gallarate - P.zza S.Lorenzo,240,VA,Gallarate,1991-06-25,2012-01-04,45.65745982503037,8.797570832831466,NA
9800,671,CO,Mantova - Tridolino,22,MN,Mantova,2005-01-20,2017-01-01,45.153319585785574,10.859263911962309,RI
10506,1269,Benzene,Dalmine - via Verdi,207,BG,Dalmine,2010-09-01,NA,45.64970251236247,9.601223338785262,UT
10507,1269,NO2,Dalmine - via Verdi,207,BG,Dalmine,2010-02-12,NA,45.64970251236247,9.601223338785262,UT
6845,659,NOx,Odolo,349,BS,Odolo,1990-10-08,NA,45.64604963372525,10.38929530279196,SB
12638,548,Arsenic,Milano - via Senato,118,MI,Milano,2008-07-09,NA,45.470499014097,9.197460360112531,UT
20216,690,Sulfur_dioxide,Casoni - AGIP,73,PV,Mezzana Bigli,2006-01-20,NA,45.069658641385914,8.86888929943922,RB
5832,514,CO,Rho - via Statuto,152,MI,Rho,1991-10-02,NA,45.523425662003476,9.044599871111005,UB
29041,561,Benzene,Como - viale Cattaneo,202,CO,Como,NA,NA,45.81504286011291,9.06697137484454,UT
5821,540,CO,Garbagnate,175,MI,Garbagnate Milanese,1992-11-30,2011-07-14,45.5717162655023,9.07824159056828,NA
12029,706,PM2.5,Lecco - Via Sora,272,LC,Lecco,2000-12-31,NA,45.86374884127965,9.399950344681852,UB
10039,687,CO,Ferno,215,VA,Ferno,2006-11-06,NA,45.61924377994763,8.756970445453431,UB
6837,658,NO2,Manerbio - via Solferino,66,BS,Manerbio,1992-08-28,2015-03-03,45.34995949312804,10.144752235947312,NA
5511,508,NO2,Cassano d`Adda - Via di Vona,133,MI,Cassano d'Adda,1984-12-17,2018-01-01,45.52000867032165,9.512220968943545,NA
12611,546,Benzo_a_pyrene,Magenta,137,MI,Magenta,2008-04-15,NA,45.462415791106615,8.880210433125571,UB
6786,653,NO2,Brescia - via Ziziola,125,BS,Brescia,1997-10-15,2018-07-30,45.51455919056731,10.218463502801265,NA
5513,510,NO2,Inzago,138,MI,Inzago,1991-01-01,2018-01-01,45.539768856661,9.486885367436152,NA
6370,543,NOx,Vimercate,194,MB,Vimercate,1994-12-23,2018-07-30,45.614920870442226,9.368396161785157,NA
12675,1264,Cadmium,Sondrio - via Paribelli,290,SO,Sondrio,2008-04-01,NA,46.167852440665115,9.879209924469903,UB
5714,535,Ozone,Lacchiarella,97,MI,Lacchiarella,1998-09-17,2018-01-01,45.32451741284727,9.134517264199278,NA
9877,674,NO2,Monza - via Machiavelli,162,MB,Monza,2005-10-21,NA,45.58026348442243,9.273573092713274,UB
6952,654,PM10,Sarezzo - via Minelli,269,BS,Sarezzo,2000-06-23,NA,45.64962671224069,10.205090218837002,UB
6904,596,Ozone,Osio Sotto,182,BG,Osio Sotto,2004-09-08,NA,45.62055567939559,9.611737821812373,SB
6813,656,NO2,Gambara,47,BS,Gambara,1990-02-16,NA,45.24954362474624,10.299119496064078,RB
5610,607,NO2,Abbadia Cerreto,64,LO,Abbadia Cerreto,2000-01-13,NA,45.309502269282255,9.585790416120414,NA
5549,546,NO2,Magenta,137,MI,Magenta,1995-04-22,NA,45.462415791106615,8.880210433125571,UB
6853,660,Sulfur_dioxide,Ospitaletto,155,BS,Ospitaletto,1990-02-16,2003-09-16,45.55325139975436,10.084916143968398,NA
6801,654,CO,Sarezzo - via Minelli,269,BS,Sarezzo,1990-02-18,NA,45.64962671224069,10.205090218837002,UB
10037,687,NOx,Ferno,215,VA,Ferno,2006-11-06,NA,45.61924377994763,8.756970445453431,UB
9961,669,PM10,Brescia - Villaggio Sereno,70,BS,Brescia,2006-01-01,NA,45.513038818653754,10.19194188877931,UB
5653,555,Sulfur_dioxide,Busto Arsizio - via Magenta,222,VA,Busto Arsizio,1991-05-25,2012-01-03,45.610736040012604,8.850115752092071,NA
10035,672,Benzene,Cornale (Voghera Energia),74,PV,Cornale,2006-02-02,NA,45.04007657202963,8.914144599002409,RB
10072,693,PM10,Sannazzaro de' Burgondi - AGIP,85,PV,Sannazzaro de' Burgondi,2007-01-01,NA,45.10276627684137,8.90417452771467,UI
10143,701,NO2,Ostiglia - via Colombo,14,MN,Ostiglia,2006-11-29,2017-01-01,45.073311155731965,11.137034007299844,UB
5598,595,NO2,Filago - via Don Milani,190,BG,Filago,1992-03-06,NA,45.63386450908066,9.556084255790864,UB
5567,564,NO2,Erba - via Battisti,279,CO,Erba,2009-06-13,NA,45.808573806922965,9.221779204488435,UB
6852,660,NO2,Ospitaletto,155,BS,Ospitaletto,1990-02-16,2018-07-30,45.55325139975436,10.084916143968398,NA
10390,556,PM10,Gallarate - P.zza S.Lorenzo,240,VA,Gallarate,2003-01-01,2018-07-30,45.65745982503037,8.797570832831466,NA
5753,553,PM10,Saronno - via Marconi,211,VA,Saronno,2000-11-22,2003-12-12,45.62396968592561,9.037226525673523,NA
9835,664,PM10,Mantova - p.zza Gramsci,18,MN,Mantova,2004-12-28,NA,45.151743379576594,10.78140770009565,UT
10321,707,NO2,Mortara,108,PV,Mortara,2007-10-04,2017-01-01,45.254728720788826,8.74415437971093,UB
5545,542,NO2,Meda,222,MB,Meda,1995-11-01,NA,45.66176219189168,9.156643984551597,UT
5587,584,NO2,Bergamo - via Garibaldi,249,BG,Bergamo,1994-06-21,NA,45.69568034432694,9.66124914606551,UT
5831,515,CO,Pero,141,MI,Pero,1991-05-10,2018-07-30,45.509852266792514,9.089972020337333,NA
6859,661,NO2,Rezzato,147,BS,Rezzato,1992-08-05,NA,45.51570829484459,10.336240422996532,SI
17162,681,PM2.5,Moggio,1194,LC,Moggio,2012-10-20,NA,45.91278752030292,9.497538167653424,RB
5548,545,NO2,Motta Visconti (aria),100,MI,Motta Visconti,1998-03-17,NA,45.281956197427846,8.988562726793255,SB
5617,508,Sulfur_dioxide,Cassano d`Adda - Via di Vona,133,MI,Cassano d'Adda,1976-10-14,2017-12-11,45.52000867032165,9.512220968943545,NA
6649,507,PM_tot,Villasanta $,176,MB,Villasanta,1990-02-27,2008-07-24,45.608621349658364,9.307118451572562,NA
6606,591,PM_tot,Seriate,256,BG,Seriate,1991-11-20,2000-01-27,45.68635606439914,9.714947917631529,NA
5512,509,NO2,Rivolta d` Adda - via Beccaria,101,CR,Rivolta d'Adda,1991-01-01,2018-01-01,45.46855301694732,9.511345333837518,NA
5648,507,Sulfur_dioxide,Villasanta $,176,MB,Villasanta,1976-12-18,1999-05-03,45.608621349658364,9.307118451572562,NA
6891,667,Ozone,Marmirolo - Bosco Fontana,22,MN,Marmirolo,2003-01-01,2018-01-01,45.20817903938493,10.74263625117323,NA
5807,576,CO,Merate,279,LC,Merate,1991-12-24,NA,45.69795198970243,9.406190938686596,UT
6939,600,PM10,Lodi - viale Vignati,80,LO,Lodi,2000-12-05,NA,45.30601298752377,9.48526286320174,UT
10168,703,Sulfur_dioxide,Schivenoglia,NA,MN,Schivenoglia,2006-12-13,NA,45.016877820755425,11.07609463264049,RB
10432,1264,NO2,Sondrio - via Paribelli,290,SO,Sondrio,2009-01-04,NA,46.167852440665115,9.879209924469903,UB
6691,642,Ozone,Pavia - via Folperti,77,PV,Pavia,2002-06-01,NA,45.19467609907785,9.164638300630086,UB
5954,627,Ozone,Cremona - p.zza Cadorna,39,CR,Cremona,1997-12-11,2010-08-30,45.13194691285173,10.015741513336042,UT
5696,606,Sulfur_dioxide,S.Giuliano Milanese,97,MI,San Giuliano Milanese,2000-01-13,2015-12-15,45.39619462552717,9.282700075557845,UT
6781,652,NO2,Brescia - via Turati,154,BS,Brescia,1999-01-13,NA,45.539529434955995,10.231785907477223,UT
6777,651,CO,Brescia - via Triumplina $,175,BS,Brescia,1999-01-15,2005-10-19,45.57158552261201,10.23148691302886,NA
10112,698,Ozone,Ceneselli,13,RO,Ceneselli,2006-11-28,2017-01-01,45.01325676849334,11.372344948058235,NA
6356,504,NOx,Sesto S.Giovanni,139,MI,Sesto San Giovanni,1980-12-18,NA,45.53476576509224,9.236107923411636,UT
12687,633,Lead,Soresina,70,CR,Soresina,2008-04-01,NA,45.28397715446764,9.863398419993635,ST
12598,609,Lead,Casirate d`Adda,108,BG,Casirate d'Adda,2008-04-24,NA,45.49822713394494,9.556232262351761,RB
5656,553,Sulfur_dioxide,Saronno - via Marconi,211,VA,Saronno,1993-06-25,2001-12-18,45.62396968592561,9.037226525673523,NA
5565,562,NO2,Mariano Comense,256,CO,Mariano Comense,1991-02-17,2015-03-01,45.68865731381679,9.180657768638271,NA
6826,657,NO2,Lonato,180,BS,Lonato del Garda,1990-02-16,NA,45.463753136210265,10.480772043571283,UB
5826,546,CO,Magenta,137,MI,Magenta,1995-04-22,NA,45.462415791106615,8.880210433125571,UB
5678,563,Sulfur_dioxide,Fino Mornasco,304,CO,Fino Mornasco,1991-02-18,2007-11-29,45.74804440954574,9.042592844183936,NA
12604,655,Lead,Darfo (aria),221,BS,Darfo Boario Terme,2008-04-18,NA,45.87460210989037,10.17735680898138,SB
5695,601,Sulfur_dioxide,Montanaso,84,LO,Montanaso Lombardo,2000-01-13,2008-04-11,45.33613100905199,9.45255388178171,RI
12589,669,Arsenic,Brescia - Villaggio Sereno,70,BS,Brescia,2008-04-01,NA,45.513038818653754,10.19194188877931,UB
6408,626,NOx,Corte de Cortesi,57,CR,Corte de' Cortesi con Cignone,2002-01-01,NA,45.27848755478839,10.006202391204335,RB
6604,589,PM_tot,Nembro $,309,BG,Nembro,1991-06-05,2005-06-13,45.743036830343144,9.760535572770022,NA
6258,578,NOx,Varenna $,220,LC,Varenna,1991-01-01,2008-02-07,46.00942283474235,9.285304059583972,NA
17290,1374,PM10,Monza Parco,181,MB,Monza,2013-02-15,NA,45.60123219955139,9.27507265782848,SB
10279,705,NO2,Milano - Pascal Città Studi,122,MI,Milano,2007-06-16,NA,45.47899606168744,9.235491038497502,UB
12581,1303,Ozone,Cremona - via Gerre Borghi,36,CR,Cremona,2012-01-01,2018-01-01,45.10953938027215,10.069230734956498,RB
20401,571,Benzene,Bormio,1225,SO,Bormio,2017-02-21,NA,46.46952397132585,10.375432759159036,UB
5657,554,Sulfur_dioxide,Saronno - via Santuario,212,VA,Saronno,1991-05-09,2001-03-24,45.626218960836006,9.04006309067821,UB
5703,572,Sulfur_dioxide,Morbegno - via Cortivacci,262,SO,Morbegno,1998-09-29,2008-08-06,46.132282960003735,9.566179893984474,UB
